quarter,DRISCFLM,DRSDCILM,DRTSCILM
0,92.5,-60.4,64.2
1,79.2,-60.4,39.6
2,59.3,-44.4,31.5
3,40.4,-31.6,14.0
4,9.1,-25.5,-5.5
5,-7.1,-7.1,-7.1
6,-49.1,1.8,-8.8
7,-33.3,-7.0,-10.5
8,-47.4,28.1,-10.5
9,-54.5,27.3,-16.4
10,-54.5,20.0,-21.8
11,-41.2,-15.7,-5.9
12,-46.4,19.6,5.4
13,-60.3,31.0,-6.9
14,-60.3,7.9,-9.5
15,-53.8,-6.2,-7.6
16,-54.4,19.1,-7.4
17,-63.2,5.9,-19.1
18,-62.5,15.3,-18.1
19,-54.2,1.4,-8.3
20,-58.3,16.4,-13.7
21,-59.7,13.9,-11.1
22,-58.7,30.7,-10.7
23,-47.4,15.8,-10.5
24,-35.6,17.8,-5.5
25,-40.0,0.0,-5.3
26,-42.9,10.0,-7.0
27,-20.6,2.9,7.4
28,-16.7,-11.1,8.2
29,-2.9,-8.7,11.6
30,-5.7,4.3,8.5
31,-8.8,-5.9,1.5
32,-5.8,0.0,1.4
33,-11.4,-6.9,-2.8
34,-21.1,-11.8,-3.9
35,-27.1,-11.3,-8.5
36,-15.9,2.9,-10.0
37,-24.3,-7.0,-11.3
38,-31.9,2.9,-15.9
39,-26.5,-14.5,-15.9
40,4.2,-8.3,2.8
41,-27.5,-16.9,-4.2
42,-26.8,-1.4,-2.8
43,-20.5,-21.6,5.4
44,-20.8,-11.1,0.0
45,40.9,7.6,41.5
46,58.9,-23.3,71.2
47,13.2,-35.3,37.7
48,-1.4,-11.1,5.5
49,-30.6,-6.9,-15.1
50,-44.6,5.6,-32.4
51,-36.9,7.6,-18.2
52,-40.9,21.7,-14.5
53,-9.4,12.3,-1.5
54,12.1,24.2,24.2
55,30.2,-8.8,39.1
56,44.8,-31.3,44.8
57,62.3,-55.6,46.0
58,68.3,-51.6,50.8
59,50.0,-30.5,33.9
60,30.6,-25.0,14.5
61,14.3,-26.6,15.6
62,-3.3,0.0,7.9
63,-3.2,-21.3,0.0
